Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,1.059200,1.059800,1.056000,1.057600,1.057600,159550
2015-12-01,1.057200,1.064000,1.056600,1.063400,1.063400,179370
2015-12-02,1.062700,1.063400,1.055300,1.061900,1.061900,218300
2015-12-03,1.060900,1.098400,1.049000,1.097400,1.097400,260714
2015-12-04,1.093300,1.095900,1.083700,1.087500,1.087500,750906
2015-12-06,null,null,null,null,null,null
2015-12-07,1.087500,1.088900,1.079700,1.084700,1.084700,439242
2015-12-08,1.083300,1.090400,1.083100,1.088900,1.088900,226990
2015-12-09,1.089500,1.104400,1.088000,1.102700,1.102700,225011
2015-12-10,1.102000,1.102200,1.092500,1.093700,1.093700,446556
2015-12-11,1.094300,1.103100,1.092700,1.099200,1.099200,373583
2015-12-13,null,null,null,null,null,null
2015-12-14,1.096900,1.102000,1.094500,1.102000,1.102000,115267
2015-12-15,1.102700,1.108800,1.093300,1.094600,1.094600,225101
2015-12-16,1.096000,1.104000,1.091500,1.100800,1.100800,220146
2015-12-17,1.092200,1.092200,1.082800,1.083000,1.083000,291916
2015-12-18,1.086000,1.090000,1.083000,1.089100,1.089100,225946
2015-12-20,null,null,null,null,null,null
2015-12-21,1.088700,1.096500,1.087400,1.095200,1.095200,192169
2015-12-22,1.093800,1.101100,1.092800,1.097900,1.097900,135047
2015-12-23,1.097900,1.098000,1.089300,1.093600,1.093600,139730
2015-12-24,1.093200,1.099100,1.092800,1.097600,1.097600,119343
2015-12-27,null,null,null,null,null,null
2015-12-28,1.098600,1.101600,1.097800,1.099900,1.099900,51303
2015-12-29,1.099600,1.101400,1.092100,1.096100,1.096100,71560
2015-12-30,1.094500,1.096400,1.092200,1.094400,1.094400,111073
2015-12-31,1.094800,1.095800,1.087100,1.088600,1.088600,97167
2016-01-03,null,null,null,null,null,null
2016-01-04,1.088400,1.096600,1.079900,1.084600,1.084600,85614
2016-01-05,1.084900,1.085700,1.072800,1.076300,1.076300,257251
2016-01-06,1.077000,1.081800,1.073200,1.080600,1.080600,187776
2016-01-07,1.079600,1.095900,1.078800,1.095200,1.095200,190337
2016-01-08,1.094100,1.095000,1.081200,1.092000,1.092000,289122
2016-01-10,null,null,null,null,null,null
2016-01-11,1.096000,1.098750,1.086500,1.088950,1.088950,291114
2016-01-12,1.087850,1.091750,1.083650,1.087150,1.087150,163839
2016-01-13,1.086650,1.090500,1.082100,1.089400,1.089400,162441
2016-01-14,1.089650,1.095950,1.085000,1.087800,1.087800,179786
2016-01-15,1.088000,1.100050,1.087000,1.092450,1.092450,228696
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,1.093000,1.095400,1.087450,1.093950,1.093950,272693
2016-01-20,1.092850,1.099100,1.089150,1.090600,1.090600,225962
